time,value,place,location,device
2024-04-20 00:02:00,25.0,office,a_project,gems-3500
2024-04-20 00:04:00,26.0,office,a_project,gems-3500
2024-04-20 00:06:00,26.0,office,a_project,gems-3500
2024-04-20 00:08:00,26.0,office,a_project,gems-3500
2024-04-20 00:10:00,26.0,office,a_project,gems-3500
2024-04-20 00:12:00,26.0,office,a_project,gems-3500
2024-04-20 00:14:00,25.0,office,a_project,gems-3500
2024-04-20 00:16:00,26.0,office,a_project,gems-3500
2024-04-20 00:18:00,26.0,office,a_project,gems-3500
2024-04-20 00:20:00,26.0,office,a_project,gems-3500
2024-04-20 00:22:00,26.0,office,a_project,gems-3500
2024-04-20 00:24:00,26.0,office,a_project,gems-3500
2024-04-20 00:26:00,24.5,office,a_project,gems-3500
2024-04-20 00:28:00,26.0,office,a_project,gems-3500
2024-04-20 00:30:00,25.0,office,a_project,gems-3500
2024-04-20 00:32:00,26.0,office,a_project,gems-3500
2024-04-20 00:34:00,26.0,office,a_project,gems-3500
2024-04-20 00:36:00,26.0,office,a_project,gems-3500
2024-04-20 00:38:00,26.0,office,a_project,gems-3500
2024-04-20 00:40:00,26.0,office,a_project,gems-3500
2024-04-20 00:42:00,26.0,office,a_project,gems-3500
2024-04-20 00:44:00,26.0,office,a_project,gems-3500
2024-04-20 00:46:00,26.0,office,a_project,gems-3500
2024-04-20 00:48:00,25.0,office,a_project,gems-3500
2024-04-20 00:50:00,25.0,office,a_project,gems-3500
2024-04-20 00:52:00,25.0,office,a_project,gems-3500
2024-04-20 00:54:00,26.0,office,a_project,gems-3500
2024-04-20 00:56:00,26.0,office,a_project,gems-3500
2024-04-20 00:58:00,26.0,office,a_project,gems-3500
2024-04-20 01:00:00,26.0,office,a_project,gems-3500
2024-04-20 01:02:00,26.0,office,a_project,gems-3500
2024-04-20 01:04:00,26.0,office,a_project,gems-3500
2024-04-20 01:06:00,26.0,office,a_project,gems-3500
2024-04-20 01:08:00,26.0,office,a_project,gems-3500
2024-04-20 01:10:00,24.5,office,a_project,gems-3500
