time,value,place,location,device
2024-04-29 00:02:00,19.0,office,a_project,gems-3500
2024-04-29 00:04:00,20.0,office,a_project,gems-3500
2024-04-29 00:06:00,21.0,office,a_project,gems-3500
2024-04-29 00:08:00,20.0,office,a_project,gems-3500
2024-04-29 00:10:00,19.0,office,a_project,gems-3500
2024-04-29 00:12:00,20.0,office,a_project,gems-3500
2024-04-29 00:14:00,20.0,office,a_project,gems-3500
2024-04-29 00:16:00,20.0,office,a_project,gems-3500
2024-04-29 00:18:00,21.0,office,a_project,gems-3500
2024-04-29 00:20:00,21.0,office,a_project,gems-3500
2024-04-29 00:22:00,21.0,office,a_project,gems-3500
2024-04-29 00:24:00,21.0,office,a_project,gems-3500
2024-04-29 00:26:00,21.0,office,a_project,gems-3500
2024-04-29 00:28:00,19.0,office,a_project,gems-3500
2024-04-29 00:30:00,19.0,office,a_project,gems-3500
2024-04-29 00:32:00,20.0,office,a_project,gems-3500
2024-04-29 00:34:00,20.0,office,a_project,gems-3500
2024-04-29 00:36:00,19.0,office,a_project,gems-3500
2024-04-29 00:38:00,20.0,office,a_project,gems-3500
2024-04-29 00:40:00,19.0,office,a_project,gems-3500
2024-04-29 00:42:00,21.0,office,a_project,gems-3500
2024-04-29 00:44:00,19.0,office,a_project,gems-3500
2024-04-29 00:46:00,21.0,office,a_project,gems-3500
2024-04-29 00:48:00,20.0,office,a_project,gems-3500
2024-04-29 00:50:00,19.0,office,a_project,gems-3500
2024-04-29 00:52:00,19.0,office,a_project,gems-3500
2024-04-29 00:54:00,19.0,office,a_project,gems-3500
2024-04-29 00:56:00,19.0,office,a_project,gems-3500
2024-04-29 00:58:00,19.0,office,a_project,gems-3500
2024-04-29 01:00:00,21.0,office,a_project,gems-3500
2024-04-29 01:02:00,21.0,office,a_project,gems-3500
2024-04-29 01:04:00,20.0,office,a_project,gems-3500
2024-04-29 01:06:00,20.0,office,a_project,gems-3500
2024-04-29 01:08:00,20.0,office,a_project,gems-3500
2024-04-29 01:10:00,20.0,office,a_project,gems-3500
2024-04-29 01:12:00,20.0,office,a_project,gems-3500
2024-04-29 01:14:00,19.0,office,a_project,gems-3500
2024-04-29 01:16:00,21.0,office,a_project,gems-3500
2024-04-29 01:18:00,20.0,office,a_project,gems-3500
2024-04-29 01:20:00,21.0,office,a_project,gems-3500
2024-04-29 01:22:00,20.0,office,a_project,gems-3500
2024-04-29 01:24:00,20.0,office,a_project,gems-3500
2024-04-29 01:26:00,19.0,office,a_project,gems-3500
2024-04-29 01:28:00,20.0,office,a_project,gems-3500
2024-04-29 01:30:00,21.0,office,a_project,gems-3500
2024-04-29 01:32:00,20.0,office,a_project,gems-3500
2024-04-29 01:34:00,20.0,office,a_project,gems-3500
2024-04-29 01:36:00,20.0,office,a_project,gems-3500
2024-04-29 01:38:00,20.0,office,a_project,gems-3500
2024-04-29 01:40:00,21.0,office,a_project,gems-3500
2024-04-29 01:42:00,19.0,office,a_project,gems-3500
2024-04-29 01:44:00,20.0,office,a_project,gems-3500
2024-04-29 01:46:00,21.0,office,a_project,gems-3500
2024-04-29 01:48:00,20.0,office,a_project,gems-3500
2024-04-29 01:50:00,20.0,office,a_project,gems-3500
2024-04-29 01:52:00,20.0,office,a_project,gems-3500
2024-04-29 01:54:00,20.0,office,a_project,gems-3500
2024-04-29 01:56:00,20.0,office,a_project,gems-3500
2024-04-29 01:58:00,21.0,office,a_project,gems-3500
2024-04-29 02:00:00,20.0,office,a_project,gems-3500
2024-04-29 02:02:00,21.0,office,a_project,gems-3500
2024-04-29 02:04:00,20.0,office,a_project,gems-3500
2024-04-29 02:06:00,20.0,office,a_project,gems-3500
2024-04-29 02:08:00,20.0,office,a_project,gems-3500
2024-04-29 02:10:00,19.0,office,a_project,gems-3500
2024-04-29 02:12:00,20.0,office,a_project,gems-3500
2024-04-29 02:14:00,21.0,office,a_project,gems-3500
2024-04-29 02:16:00,21.0,office,a_project,gems-3500
2024-04-29 02:18:00,20.0,office,a_project,gems-3500
2024-04-29 02:20:00,20.0,office,a_project,gems-3500
2024-04-29 02:22:00,21.0,office,a_project,gems-3500
2024-04-29 02:24:00,20.0,office,a_project,gems-3500
2024-04-29 02:26:00,20.0,office,a_project,gems-3500
2024-04-29 02:28:00,19.0,office,a_project,gems-3500
2024-04-29 02:30:00,19.0,office,a_project,gems-3500
2024-04-29 02:32:00,20.0,office,a_project,gems-3500
2024-04-29 02:34:00,21.0,office,a_project,gems-3500
2024-04-29 02:36:00,19.0,office,a_project,gems-3500
2024-04-29 02:38:00,21.0,office,a_project,gems-3500
2024-04-29 02:40:00,21.0,office,a_project,gems-3500
2024-04-29 02:42:00,19.0,office,a_project,gems-3500
2024-04-29 02:44:00,21.0,office,a_project,gems-3500
2024-04-29 02:46:00,20.0,office,a_project,gems-3500
2024-04-29 02:48:00,21.0,office,a_project,gems-3500
2024-04-29 02:50:00,21.0,office,a_project,gems-3500
2024-04-29 02:52:00,19.0,office,a_project,gems-3500
2024-04-29 02:54:00,20.0,office,a_project,gems-3500
2024-04-29 02:56:00,21.0,office,a_project,gems-3500
2024-04-29 02:58:00,19.0,office,a_project,gems-3500
2024-04-29 03:00:00,20.0,office,a_project,gems-3500
2024-04-29 03:02:00,19.0,office,a_project,gems-3500
2024-04-29 03:04:00,20.0,office,a_project,gems-3500
2024-04-29 03:06:00,20.0,office,a_project,gems-3500
2024-04-29 03:08:00,21.0,office,a_project,gems-3500
2024-04-29 03:10:00,21.0,office,a_project,gems-3500
2024-04-29 03:12:00,20.0,office,a_project,gems-3500
2024-04-29 03:14:00,21.0,office,a_project,gems-3500
2024-04-29 03:16:00,20.0,office,a_project,gems-3500
2024-04-29 03:18:00,20.0,office,a_project,gems-3500
2024-04-29 03:20:00,20.0,office,a_project,gems-3500
2024-04-29 03:22:00,19.0,office,a_project,gems-3500
2024-04-29 03:24:00,20.0,office,a_project,gems-3500
2024-04-29 03:26:00,20.0,office,a_project,gems-3500
2024-04-29 03:28:00,21.0,office,a_project,gems-3500
2024-04-29 03:30:00,19.0,office,a_project,gems-3500
2024-04-29 03:32:00,21.0,office,a_project,gems-3500
2024-04-29 03:34:00,20.0,office,a_project,gems-3500
2024-04-29 03:36:00,21.0,office,a_project,gems-3500
2024-04-29 03:38:00,21.0,office,a_project,gems-3500
2024-04-29 03:40:00,19.0,office,a_project,gems-3500
2024-04-29 03:42:00,19.0,office,a_project,gems-3500
2024-04-29 03:44:00,19.0,office,a_project,gems-3500
2024-04-29 03:46:00,21.0,office,a_project,gems-3500
2024-04-29 03:48:00,20.0,office,a_project,gems-3500
2024-04-29 03:50:00,20.0,office,a_project,gems-3500
2024-04-29 03:52:00,19.0,office,a_project,gems-3500
2024-04-29 03:54:00,21.0,office,a_project,gems-3500
2024-04-29 03:56:00,20.0,office,a_project,gems-3500
2024-04-29 03:58:00,20.0,office,a_project,gems-3500
2024-04-29 04:00:00,21.0,office,a_project,gems-3500
2024-04-29 04:02:00,21.0,office,a_project,gems-3500
2024-04-29 04:04:00,20.0,office,a_project,gems-3500
2024-04-29 04:06:00,20.0,office,a_project,gems-3500
2024-04-29 04:08:00,20.0,office,a_project,gems-3500
2024-04-29 04:10:00,21.0,office,a_project,gems-3500
2024-04-29 04:12:00,21.0,office,a_project,gems-3500
2024-04-29 04:14:00,21.0,office,a_project,gems-3500
2024-04-29 04:16:00,20.0,office,a_project,gems-3500
2024-04-29 04:18:00,21.0,office,a_project,gems-3500
2024-04-29 04:20:00,21.0,office,a_project,gems-3500
2024-04-29 04:22:00,21.0,office,a_project,gems-3500
2024-04-29 04:24:00,21.0,office,a_project,gems-3500
2024-04-29 04:26:00,20.0,office,a_project,gems-3500
2024-04-29 04:28:00,20.0,office,a_project,gems-3500
2024-04-29 04:30:00,19.0,office,a_project,gems-3500
2024-04-29 04:32:00,21.0,office,a_project,gems-3500
2024-04-29 04:34:00,20.0,office,a_project,gems-3500
2024-04-29 04:36:00,19.0,office,a_project,gems-3500
2024-04-29 04:38:00,20.0,office,a_project,gems-3500
2024-04-29 04:40:00,21.0,office,a_project,gems-3500
2024-04-29 04:42:00,20.0,office,a_project,gems-3500
2024-04-29 04:44:00,20.0,office,a_project,gems-3500
2024-04-29 04:46:00,21.0,office,a_project,gems-3500
2024-04-29 04:48:00,20.0,office,a_project,gems-3500
2024-04-29 04:50:00,20.0,office,a_project,gems-3500
2024-04-29 04:52:00,20.0,office,a_project,gems-3500
2024-04-29 04:54:00,20.0,office,a_project,gems-3500
2024-04-29 04:56:00,20.0,office,a_project,gems-3500
2024-04-29 04:58:00,20.0,office,a_project,gems-3500
2024-04-29 05:00:00,21.0,office,a_project,gems-3500
2024-04-29 05:02:00,20.0,office,a_project,gems-3500
2024-04-29 05:04:00,20.0,office,a_project,gems-3500
2024-04-29 05:06:00,19.0,office,a_project,gems-3500
2024-04-29 05:08:00,19.0,office,a_project,gems-3500
2024-04-29 05:10:00,20.0,office,a_project,gems-3500
2024-04-29 05:12:00,20.0,office,a_project,gems-3500
2024-04-29 05:14:00,20.0,office,a_project,gems-3500
2024-04-29 05:16:00,21.0,office,a_project,gems-3500
2024-04-29 05:18:00,20.0,office,a_project,gems-3500
2024-04-29 05:20:00,21.0,office,a_project,gems-3500
2024-04-29 05:22:00,19.0,office,a_project,gems-3500
2024-04-29 05:24:00,20.0,office,a_project,gems-3500
2024-04-29 05:26:00,21.0,office,a_project,gems-3500
2024-04-29 05:28:00,21.0,office,a_project,gems-3500
2024-04-29 05:30:00,19.0,office,a_project,gems-3500
2024-04-29 05:32:00,20.0,office,a_project,gems-3500
2024-04-29 05:34:00,19.0,office,a_project,gems-3500
2024-04-29 05:36:00,19.0,office,a_project,gems-3500
2024-04-29 05:38:00,21.0,office,a_project,gems-3500
2024-04-29 05:40:00,19.0,office,a_project,gems-3500
2024-04-29 05:42:00,19.0,office,a_project,gems-3500
2024-04-29 05:44:00,19.0,office,a_project,gems-3500
2024-04-29 05:46:00,21.0,office,a_project,gems-3500
2024-04-29 05:48:00,20.0,office,a_project,gems-3500
2024-04-29 05:50:00,21.0,office,a_project,gems-3500
2024-04-29 05:52:00,20.0,office,a_project,gems-3500
2024-04-29 05:54:00,21.0,office,a_project,gems-3500
2024-04-29 05:56:00,73.0,office,a_project,gems-3500
2024-04-29 05:58:00,72.0,office,a_project,gems-3500
2024-04-29 06:00:00,40.0,office,a_project,gems-3500
2024-04-29 06:02:00,36.0,office,a_project,gems-3500
2024-04-29 06:04:00,36.0,office,a_project,gems-3500
2024-04-29 06:06:00,36.0,office,a_project,gems-3500
2024-04-29 06:08:00,38.0,office,a_project,gems-3500
2024-04-29 06:10:00,75.0,office,a_project,gems-3500
2024-04-29 06:12:00,74.0,office,a_project,gems-3500
2024-04-29 06:14:00,74.0,office,a_project,gems-3500
2024-04-29 06:16:00,74.0,office,a_project,gems-3500
2024-04-29 06:18:00,74.0,office,a_project,gems-3500
2024-04-29 06:20:00,74.0,office,a_project,gems-3500
2024-04-29 06:22:00,74.0,office,a_project,gems-3500
2024-04-29 06:24:00,74.0,office,a_project,gems-3500
2024-04-29 06:26:00,74.0,office,a_project,gems-3500
2024-04-29 06:28:00,74.0,office,a_project,gems-3500
2024-04-29 06:30:00,58.5,office,a_project,gems-3500
2024-04-29 06:32:00,75.0,office,a_project,gems-3500
2024-04-29 06:34:00,70.5,office,a_project,gems-3500
2024-04-29 06:36:00,40.0,office,a_project,gems-3500
2024-04-29 06:38:00,33.0,office,a_project,gems-3500
2024-04-29 06:40:00,33.0,office,a_project,gems-3500
2024-04-29 06:42:00,34.5,office,a_project,gems-3500
2024-04-29 06:44:00,32.0,office,a_project,gems-3500
2024-04-29 06:46:00,35.5,office,a_project,gems-3500
2024-04-29 06:48:00,35.5,office,a_project,gems-3500
2024-04-29 06:50:00,36.0,office,a_project,gems-3500
2024-04-29 06:52:00,34.5,office,a_project,gems-3500
2024-04-29 06:54:00,36.0,office,a_project,gems-3500
