time,value,place,location,device
2024-04-18 00:02:00,60.5,office,a_project,gems-3500
2024-04-18 00:04:00,80.0,office,a_project,gems-3500
2024-04-18 00:06:00,77.5,office,a_project,gems-3500
2024-04-18 00:08:00,81.0,office,a_project,gems-3500
2024-04-18 00:10:00,58.0,office,a_project,gems-3500
2024-04-18 00:12:00,58.0,office,a_project,gems-3500
2024-04-18 00:14:00,79.0,office,a_project,gems-3500
2024-04-18 00:16:00,77.5,office,a_project,gems-3500
2024-04-18 00:18:00,77.5,office,a_project,gems-3500
2024-04-18 00:20:00,76.0,office,a_project,gems-3500
2024-04-18 00:22:00,76.0,office,a_project,gems-3500
2024-04-18 00:24:00,76.0,office,a_project,gems-3500
2024-04-18 00:26:00,76.0,office,a_project,gems-3500
2024-04-18 00:28:00,76.0,office,a_project,gems-3500
2024-04-18 00:30:00,76.0,office,a_project,gems-3500
2024-04-18 00:32:00,81.0,office,a_project,gems-3500
2024-04-18 00:34:00,83.5,office,a_project,gems-3500
2024-04-18 00:36:00,84.0,office,a_project,gems-3500
2024-04-18 00:38:00,84.0,office,a_project,gems-3500
2024-04-18 00:40:00,60.5,office,a_project,gems-3500
2024-04-18 00:42:00,36.5,office,a_project,gems-3500
2024-04-18 00:44:00,34.5,office,a_project,gems-3500
2024-04-18 00:46:00,33.0,office,a_project,gems-3500
2024-04-18 00:48:00,61.0,office,a_project,gems-3500
2024-04-18 00:50:00,76.0,office,a_project,gems-3500
2024-04-18 00:52:00,76.0,office,a_project,gems-3500
2024-04-18 00:54:00,77.5,office,a_project,gems-3500
2024-04-18 00:56:00,76.0,office,a_project,gems-3500
2024-04-18 00:58:00,76.0,office,a_project,gems-3500
2024-04-18 01:00:00,76.0,office,a_project,gems-3500
2024-04-18 01:02:00,93.5,office,a_project,gems-3500
2024-04-18 01:04:00,82.5,office,a_project,gems-3500
2024-04-18 01:06:00,90.5,office,a_project,gems-3500
2024-04-18 01:08:00,80.0,office,a_project,gems-3500
2024-04-18 01:10:00,78.5,office,a_project,gems-3500
2024-04-18 01:12:00,89.5,office,a_project,gems-3500
2024-04-18 01:14:00,78.5,office,a_project,gems-3500
2024-04-18 01:16:00,77.5,office,a_project,gems-3500
2024-04-18 01:18:00,77.5,office,a_project,gems-3500
2024-04-18 01:20:00,77.5,office,a_project,gems-3500
2024-04-18 01:22:00,77.5,office,a_project,gems-3500
2024-04-18 01:24:00,76.0,office,a_project,gems-3500
2024-04-18 01:26:00,77.5,office,a_project,gems-3500
2024-04-18 01:28:00,77.5,office,a_project,gems-3500
2024-04-18 01:30:00,77.5,office,a_project,gems-3500
2024-04-18 01:32:00,77.5,office,a_project,gems-3500
2024-04-18 01:34:00,76.0,office,a_project,gems-3500
2024-04-18 01:36:00,80.0,office,a_project,gems-3500
2024-04-18 01:38:00,79.0,office,a_project,gems-3500
2024-04-18 01:40:00,79.0,office,a_project,gems-3500
2024-04-18 01:42:00,76.0,office,a_project,gems-3500
2024-04-18 01:44:00,76.0,office,a_project,gems-3500
2024-04-18 01:46:00,76.0,office,a_project,gems-3500
2024-04-18 01:48:00,76.0,office,a_project,gems-3500
2024-04-18 01:50:00,76.0,office,a_project,gems-3500
2024-04-18 01:52:00,77.5,office,a_project,gems-3500
2024-04-18 01:54:00,77.5,office,a_project,gems-3500
2024-04-18 01:56:00,77.5,office,a_project,gems-3500
2024-04-18 01:58:00,78.5,office,a_project,gems-3500
2024-04-18 02:00:00,76.0,office,a_project,gems-3500
2024-04-18 02:02:00,76.0,office,a_project,gems-3500
2024-04-18 02:04:00,79.0,office,a_project,gems-3500
2024-04-18 02:06:00,41.5,office,a_project,gems-3500
